"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_9","Fungi","","","","","",""
"OTU_22","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",""
"OTU_72","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
"OTU_13","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella",""
"OTU_4","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria tenuissima "
"OTU_12","Fungi","Basidiomycota","Exobasidiomycetes","Entylomatales","Entylomataceae","Tilletiopsis","Tilletiopsis washingtonensis "
"OTU_6544","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella zeae "
"OTU_5","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","Didymella glomerata "
"OTU_21","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Bullera",""
"OTU_291","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
"OTU_17","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella oryzae "
"OTU_23","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema","Papiliotrema flavescens "
"OTU_36","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","Neoascochyta desmazieri "
"OTU_32","Fungi","Basidiomycota","Cystobasidiomycetes","Symmetrosporaceae","Symmetrospora","Symmetrospora",""
"OTU_10","Fungi","","","","","",""
"OTU_20","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella luteola "
"OTU_2","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",""
"OTU_85","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","",""
"OTU_18","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","",""
"OTU_2407","Fungi","","","","","",""
"OTU_133","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia",""
"OTU_95","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella",""
"OTU_65","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella zeae "
"OTU_4096","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","Neosetophoma guiyangensis "
"OTU_15","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","",""
"OTU_45","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella poagena "
"OTU_48","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium",""
"OTU_3259","Fungi","","","","","",""
"OTU_176","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
"OTU_59","Fungi","","","","","",""
"OTU_4607","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium",""
"OTU_6277","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"OTU_104","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella","Septoriella phragmitis "
"OTU_89","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","",""
"OTU_223","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum pseudokeratinophilum "
"OTU_55","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
"OTU_389","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema",""
"OTU_419","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Edenia","Edenia gomezpompae "
"OTU_35","Fungi","Ascomycota","Dothideomycetes","","","",""
"OTU_54","Fungi","","","","","",""
"OTU_401","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
"OTU_164","Fungi","Basidiomycota","Cystobasidiomycetes","","Symmetrosporaceae","Symmetrospora","Symmetrospora symmetrica "
"OTU_120","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta",""
"OTU_673","Fungi","Basidiomycota","Exobasidiomycetes","Entylomatales","Entylomataceae","Tilletiopsis","Tilletiopsis washingtonensis "
"OTU_130","Fungi","Basidiomycota","Cystobasidiomycetes","","Symmetrosporaceae","Symmetrospora","Symmetrospora oryzicola "
"OTU_464","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium vesicarium "
"OTU_174","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
"OTU_75","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia zsoltii "
"OTU_11","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium equiseti "
"OTU_377","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Kiflimonium","Kiflimonium curvulum "
"OTU_1","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",""
"OTU_189","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",""
"OTU_199","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium macerans "
"OTU_19","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_239","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma tephrensis "
"OTU_203","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
"OTU_924","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium slooffiae "
"OTU_115","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella taiwanica "
"OTU_258","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
"OTU_454","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma",""
"OTU_82","Fungi","Ascomycota","Leotiomycetes","Helotiales","","Tricellula",""
"OTU_52","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","",""
"OTU_1659","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"OTU_7","Fungi","","","","","",""
"OTU_169","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporobolomyces","Sporobolomyces roseus "
"OTU_403","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia",""
"OTU_14","Fungi","","","","","",""
"OTU_256","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
"OTU_173","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Microdochium",""
"OTU_131","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora",""
"OTU_373","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma",""
"OTU_5156","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",""
"OTU_195","Fungi","","","","","",""
"OTU_262","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis",""
"OTU_497","Fungi","Ascomycota","Leotiomycetes","Helotiales","","",""
"OTU_7036","Fungi","","","","","",""
